index,name,release_date,summary,meta_score,user_review
3912,Get Packed,2020-04-28,Get Packed is a couch co-op removals game with calamity and physics-based carnage for 1 to 4 players. Fusing Overcooked style frantic fun & Gang Beasts inspired elastic physics you and your rubber-limbed removal team help the citizens of Ditchlington relocate as fast as you can. [Google],81,7.7
4476,Super Bomberman R Online,2020-09-01,"With the new Battle 64 mode, players will automatically be placed in one of many areas at the start of each match, and must battle it out against other players in the same area. Areas will begin to close down as the clock ticks and players must pass through the gates to the other remaining areas before the timer runs out! Those who make it to the last remaining area must battle it out to become the last one standing!!",80,7.2
8736,Orcs Must Die! 3,2020-07-14,"Orcs Must Die! 3 ushers orc-slaying mayhem to a previously unimaginable scale. All new War Scenarios pit players and their friends against the largest orc armies ever assembled. Mountable War Machines give players the essential firepower to heave, stab, carbonize, and disarticulate the abominable intruders. Orcs Must Die! 3 is the long-awaited successor to the award-winning series.",73,7.7
12837,Pac-Man: Mega Tunnel Battle,2020-11-17,"Prove your mettle in the world’s biggest simultaneous multiplayer PAC-MAN experience! Jump into 64-player games and show everyone who's the leader of the PAC! Invade other players' mazes, eat their dots and power ups - even other players! - and dominate the mazes! But watch out: viewers can vote on power-ups that can cause you - or your opponents! - to stumble on the field and be eliminated from battle! Invade, defend, and rack up high scores across a field of 64 interconnected mazes. Take advantage of brand-new power-ups, spy on neighboring boards, and much more! Spectator interactivity means even viewers are part of all the thrilling action! And customize your PAC-MAN and your home maze with fun skins to show off unique looks!",67,6.5
17797,Paradise Cracked,2003-09-30,"For many years the world had suffered from overpopulation and ecological destruction, until the leading scientists created CyberBrain - a supercomputer that solved all the global problems and turned the overpopulated and polluted Earth into Paradise. You are a young hacker. Once, while in cyberspace you managed to break into a secured area and came across a series of strange data packets. You hurriedly copied these to disk, not even having the time to read their contents. Only a few minutes later you hear a police siren, followed by banging on the door and demands to open up... [Buka Entertainment]",48,7.8
